Sample,BleachingStatus,Gametes,Sperm,Eggs,AvgFecundity,Protein,ColonySize,depth_m,Notes,
214,resistant,1,1,1,3.333333333,,115.763,3,,1 = present
217,resistant,1,1,1,5,,1225.763,3,,0 = absent
218,resistant,1,1,1,4.333333333,312.7275865,604.262,3,,
225,resistant,1,1,1,2.666666667,,359.829,3,,
226,resistant,1,1,1,3.666666667,241.7066551,768.613,3,,
227,resistant,0,0,0,0,,15.935,3,,
228,resistant,1,1,1,3,,914.727,3,,
231,resistant,1,1,1,3.333333333,285.858894,435.666,3,partial mortality (small),
248,resistant,1,1,1,2,480.2030617,682.377,3,,
249,resilient,0,0,0,0,,836.234,3,partial mortality; hard to measure because some of colony cut off in photo and partially blocked by another colony,
254,resistant,1,1,1,3,,285.487,3,,
255,resistant,1,1,1,3.333333333,,100.124,3,,
257,resistant,0,0,0,0,,24.82,3,only 4 slides; possibly branch tip?,
259,resistant,1,1,1,2.333333333,430.5619835,646.493,3,,
260,resistant,1,1,1,4,,926.64,3,,
266,resistant,1,1,1,1.333333333,443.6040042,889.844,3,,
269,resilient,0,0,0,0,,148.983,3,only 3 slides; possibly branch tip?; partially bleached,
270,resistant,1,1,1,3,565.1924989,783.002,3,,
271,resistant,1,1,1,4,,583.905,3,partial mortality,
272,resilient,0,0,0,0,,571.374,3,more than half of colony dead,
273,resistant,1,1,1,2.666666667,,433.717,3,,
274,resistant,1,1,1,0,,930.19,3,,
276,resilient,1,1,1,2.666666667,,697.38,3,partially covered by another colony,
279,resistant,1,1,1,2.666666667,,192.733,3,,
281,resistant,1,1,1,4.666666667,355.6798522,1651.248,3,,
301,resilient,1,1,1,2.666666667,207.6306109,278.823,14,,
303,resilient,0,0,0,0,,204.788,14,,
305,resilient,0,0,0,0,,238.44,14,,
310,resilient,1,1,1,1.333333333,236.4481944,461.085,14,,
311,resilient,0,0,0,0,,198.766,14,,
312,resilient,1,1,1,3.333333333,366.646503,301.117,14,obscured by several colonies and edge partially cut off from picture,
313,resilient,1,1,1,2.333333333,310.102546,120.359,14,,
314,resilient,1,1,0,0,,391.553,14,,
316,resilient,0,0,0,0,,153.496,14,,
317,resilient,0,0,0,0,,432.864,14,,
318,resilient,0,0,0,0,,139.517,14,partial mortality; partially obscured by another colony,
319,resilient,0,0,0,0,,35.321,14,,
320,resilient,1,1,1,3,320.8947555,216.533,14,,
327,resilient,0,0,0,0,,352.063,14,,
328,resilient,1,1,1,1.666666667,,154.246,14,difficult to measure bc partially covered by another colony,
331,resilient,0,0,0,0,,448.66,14,,