Sample,BleachingStatus,Sex,Gametes,Sperm,Eggs,Eggs2,Size,Notes,
214,resistant,H,1,1,1,0.9999,115.763,,1 = present
217,resistant,H,1,1,1,0.9999,,,0 = absent
218,resistant,H,1,1,1,0.9999,604.262,,
225,resistant,H,1,1,1,0.9999,359.829,,
226,resistant,H,1,1,1,0.9999,768.613,,
227,resistant,NR,0,0,0,0.0001,15.935,,
228,resistant,H,1,1,1,0.9999,914.727,,
230,resistant,H,1,1,1,0.9999,364.556,partial bleaching on one side (small area),
231,resistant,H,1,1,1,0.9999,435.666,partial mortality (small),
248,resistant,H,1,1,1,0.9999,682.377,,
249,resilient,NR,0,0,0,0.0001,836.234,partial mortality; hard to measure because some of colony cut off in photo and partially blocked by another colony,
254,resistant,H,1,1,1,0.9999,285.487,,
255,resistant,H,1,1,1,0.9999,100.124,,
256,resistant,H,1,1,1,0.9999,504.527,,
257,resistant,NR,0,0,0,0.0001,24.82,only 4 slides; possibly branch tip?,
259,resistant,H,1,1,1,0.9999,646.493,,
260,resistant,H,1,1,1,0.9999,926.64,,
262,resistant,H,1,1,1,0.9999,626.124,tiny bit of parital mortality?,
263,resistant,H,1,1,1,0.9999,91.951,very torn up and could not see sperm… may be present,
266,resistant,H,1,1,1,0.9999,889.844,,
269,resilient,NR,0,0,0,0.0001,148.983,only 3 slides; possibly branch tip?; partially bleached,
270,resistant,H,1,1,1,0.9999,783.002,,
271,resistant,H,1,1,1,0.9999,583.905,partial mortality,
272,resilient,NR,0,0,0,0.0001,571.374,more than half of colony dead,
273,resistant,H,1,1,1,0.9999,433.717,,
274,resistant,H,1,1,1,0.9999,,,
276,resilient,H,1,1,1,0.9999,697.38,partially covered by another colony,
278,resistant,H,1,1,1,0.9999,511.812,very torn up and could not see sperm… may be present; partially bleached and partial mortality (small),
279,resistant,H,1,1,1,0.9999,192.733,,
281,resistant,H,1,1,1,0.9999,1651.248,,
301,resilient,H,1,1,1,0.9999,278.823,,
303,resilient,NR,0,0,0,0.0001,204.788,,
305,resilient,NR,0,0,0,0.0001,238.44,,
309,resilient,NR,0,0,0,0.0001,,,
310,resilient,H,1,1,1,0.9999,461.085,,
311,resilient,NR,0,0,0,0.0001,,,
312,resilient,H,1,1,1,0.9999,301.117,obscured by several colonies and edge partially cut off from picture,
313,resilient,H,1,1,1,0.9999,120.359,,
314,resilient,M,1,1,0,0.0001,391.553,,
316,resilient,NR,0,0,0,0.0001,153.496,,
317,resilient,NR,0,0,0,0.0001,432.864,,
318,resilient,NR,0,0,0,0.0001,139.517,partial mortality; partially obscured by another colony,
319,resilient,NR,0,0,0,0.0001,35.321,,
320,resilient,H,1,1,1,0.9999,216.533,,
327,resilient,NR,0,0,0,0.0001,352.063,,
328,resilient,H,1,1,1,0.9999,154.246,difficult to measure bc partially covered by another colony,
331,resilient,NR,0,0,0,0.0001,448.66,,