Sample,BleachingStatus,Stage,Number,depth_m,
214,resistant,1,25,5,514
214,resistant,2,0,5,172
217,resistant,1,25,5,
217,resistant,2,0,5,
218,resistant,1,25,5,
218,resistant,2,0,5,
225,resistant,1,25,5,
225,resistant,2,0,5,
226,resistant,1,25,5,
226,resistant,2,0,5,
228,resistant,1,24,5,
228,resistant,2,1,5,
230,resistant,1,18,5,
230,resistant,2,0,5,
231,resistant,1,25,5,
231,resistant,2,0,5,
248,resistant,1,25,5,
248,resistant,2,0,5,
254,resistant,1,25,5,
254,resistant,2,0,5,
255,resistant,1,25,5,
255,resistant,2,0,5,
256,resistant,1,5,5,
256,resistant,2,0,5,
259,resistant,1,22,5,
259,resistant,2,3,5,
260,resistant,1,23,5,
260,resistant,2,2,5,
262,resistant,1,25,5,
262,resistant,2,0,5,
263,resistant,1,16,5,
263,resistant,2,0,5,
266,resistant,1,25,5,
266,resistant,2,0,5,
270,resistant,1,25,5,
270,resistant,2,0,5,
271,resistant,1,23,5,
271,resistant,2,2,5,
273,resistant,1,24,5,
273,resistant,2,1,5,
274,resistant,1,6,5,
274,resistant,2,0,5,
276,resilient,1,25,5,
276,resilient,2,0,5,
278,resistant,1,3,5,
278,resistant,2,0,5,
279,resistant,1,25,5,
279,resistant,2,0,5,
281,resistant,1,25,5,
281,resistant,2,0,5,
301,resilient,1,25,14,
301,resilient,2,0,14,
310,resilient,1,23,14,
310,resilient,2,2,14,
312,resilient,1,25,14,
312,resilient,2,0,14,
313,resilient,1,25,14,
313,resilient,2,0,14,
314,resilient,1,25,14,
314,resilient,2,0,14,
320,resilient,1,25,14,
320,resilient,2,0,14,
328,resilient,1,24,14,
328,resilient,2,1,14,