Sample,BleachingStatus,Stage,Number,,
214,resistant,1,25,,514
214,resistant,2,0,,172
217,resistant,1,25,,
217,resistant,2,0,,
218,resistant,1,25,,
218,resistant,2,0,,
225,resistant,1,25,,
225,resistant,2,0,,
226,resistant,1,25,,
226,resistant,2,0,,
228,resistant,1,24,,
228,resistant,2,1,,
230,resistant,1,18,,
230,resistant,2,0,,
231,resistant,1,25,,
231,resistant,2,0,,
248,resistant,1,25,,
248,resistant,2,0,,
254,resistant,1,25,,
254,resistant,2,0,,
255,resistant,1,25,,
255,resistant,2,0,,
256,resistant,1,5,,
256,resistant,2,0,,
259,resistant,1,22,,
259,resistant,2,3,,
260,resistant,1,23,,
260,resistant,2,2,,
262,resistant,1,25,,
262,resistant,2,0,,
263,resistant,1,16,,
263,resistant,2,0,,
266,resistant,1,25,,
266,resistant,2,0,,
270,resistant,1,25,,
270,resistant,2,0,,
271,resistant,1,23,,
271,resistant,2,2,,
273,resistant,1,24,,
273,resistant,2,1,,
274,resistant,1,6,,
274,resistant,2,0,,
276,resilient,1,25,,
276,resilient,2,0,,
278,resistant,1,3,,
278,resistant,2,0,,
279,resistant,1,25,,
279,resistant,2,0,,
281,resistant,1,25,,
281,resistant,2,0,,
301,resilient,1,25,,
301,resilient,2,0,,
310,resilient,1,23,,
310,resilient,2,2,,
312,resilient,1,25,,
312,resilient,2,0,,
313,resilient,1,25,,
313,resilient,2,0,,
314,resilient,1,25,,
314,resilient,2,0,,
320,resilient,1,25,,
320,resilient,2,0,,
328,resilient,1,24,,
328,resilient,2,1,,